doi,first_author,middle_authors,last_author,corresponding_author,status
10.1214/17-AOS1578,Xinbing Kong,,,Xinbing Kong,success
10.1214/17-AOS1579,Wenliang Pan,Yuan Tian; Xueqin Wang,Heping Zhang,,success
10.1214/17-AOS1580,Karl Gregory,Soumendra N. Lahiri,Daniel J. Nordman,,success
10.1214/17-AOS1581,Juan Carlos Escanciano,Juan Carlos Pardo–Fernández,Ingrid Van Keilegom,Ingrid Van Keilegom,success
10.1214/17-AOS1582,Weichi Wu,,Zhou Zhou,,success
10.1214/17-AOS1583,Fuqing Gao,Jie Xiong,Xingqiu Zhao,,success
10.1214/17-AOS1584,Ryan J. Tibshirani,Alessandro Rinaldo; Robert Tibshirani,Larry Wasserman,,success
10.1214/17-AOS1585,Rajarshi Mukherjee,Sumit Mukherjee,Subhabrata Sen,Rajarshi Mukherjee,success
10.1214/17-AOS1586,Karim Lounici,Katia Méziani,Gabriel Peyré,,success
10.1214/17-AOS1568,Jianqing Fan,Han Liu; Qiang Sun,Tong Zhang,,success
10.1214/17-AOS1555,Yuanzhen He,Ching‐Shui Cheng,Boxin Tang,Boxin Tang,success
10.1214/17-AOS1556,,,,,not_found
10.1214/17-AOS1558,Ningning Xia,,Xinghua Zheng,,success
10.1214/17-AOS1559,,,,,not_found
10.1214/17-AOS1560,Carlos Velasco,,Ignacio N. Lobato,,success
10.1214/17-AOS1561,Qian Lin,Zhigen Zhao,Jun S. Liu,,success
10.1214/17-AOS1562,Guillaume Lecué,,Shahar Mendelson,,success
10.1214/17-AOS1563,Xiaohong Chen,,,Xiaohong Chen,success
10.1214/17-AOS1564,Xiaoying Tian,,Jonathan Taylor,Jonathan Taylor,success
10.1214/17-AOS1565,,,,,not_found
10.1214/17-AOS1566,Pierre Bellec,,,Pierre Bellec,success
10.1214/17-AOS1567,Shaogao Lv,Huazhen Lin; Heng Lian,Jian Huang,,success
10.1214/17-AOS1569,Emilie Kaufmann,,,Emilie Kaufmann,success
10.1214/17-AOS1571,Xi Chen,,Weidong Liu,,success
10.1214/17-AOS1574,Yumou Qiu,Song Xi Chen,Dan Nettleton,,success
10.1214/16-AOS1532,Xiaoou Li,Jingchen Liu,Zhiliang Ying,,success
10.1214/17-AOS1540,Pierre C Bellec,,,Pierre C Bellec,success
10.1214/17-AOS1541,Tommaso Cai,,Anru R. Zhang,,success
10.1214/17-AOS1543,Caroline Uhler,Alex Lenkoski,Donald Richards,,success
10.1214/17-AOS1544,Ali Mousavi,Arian Maleki,Richard G. Baraniuk,Ali Mousavi,success
10.1214/17-AOS1545,,,,,not_found
10.1214/17-AOS1547,Tuo Zhao,Han Liu,Tong Zhang,,success
10.1214/17-AOS1548,Xianyang Zhang,Shun Yao,Xiaofeng Shao,,success
10.1214/17-AOS1549,,,,,not_found
10.1214/17-AOS1550,,,,,not_found
10.1214/17-AOS1551,Qi Zheng,Limin Peng,Xuming He,,success
10.1214/17-AOS1552,Myung Hwan Seo,,Taisuke Otsu,,success
10.1214/17-AOS1553,Zhenhua Lin,Hans‐Georg Müller,Fang Yao,,success
10.1214/17-AOS1554,Veronika Ročková,,,Veronika Ročková,success
10.1214/16-AOS1534,Antoine Chambaz,Wenjing Zheng,Mark van der Laan,,success
10.1214/16-AOS1535,Chuan-Fa Tang,Dewei Wang,Joshua M. Tebbs,,success
10.1214/16-AOS1483,Yang Ning,Tianqi Zhao,Han Liu,,success
10.1214/16-AOS1505,,,,,not_found
10.1214/16-AOS1524,Shuyang Bai,,Murad S. Taqqu,,success
10.1214/16-AOS1527,Abhirup Datta,,Hui Zou,,success
10.1214/16-AOS1529,Ali Mousavi,Arian Maleki,Richard G. Baraniuk,Ali Mousavi,success
10.1214/16-AOS1530,Po‐Ling Loh,,Martin J. Wainwright,,success
10.1214/16-AOS1531,Yuan-Lung Lin,Frederick Kin Hing Phoa,Ming‐Hung Kao,,success
10.1214/16-AOS1533,Kolyan Ray,,,Kolyan Ray,success
10.1214/16-AOS1536,Yunjin Choi,Jonathan Taylor,Robert Tibshirani,,success
10.1214/16-AOS1537,Panayiota Constantinou,,A. P. Dawid,Panayiota Constantinou,success
10.1214/17-AOS1538,Tomohiro Ando,,Ker-chau Li,Ker-chau Li,success
10.1214/17-AOS1539,Weidong Liu,,,Weidong Liu,success
10.1214/17-AOS1542,Dragi Anevski,Richard D. Gill,Stefan Zohren,,success
10.1214/17-AOS1546,,,,,not_found
10.1214/16-AOS1511,Jingshu Wang,Qingyuan Zhao; Trevor Hastie,Art B. Owen,,success
10.1214/16-AOS1512,Danna Zhang,,Wei Biao Wu,Wei Biao Wu,success
10.1214/16-AOS1513,,,,,not_found
10.1214/16-AOS1515,James M. Robins,Lingling Li; Rajarshi Mukherjee; Eric Tchetgen Tchetgen,Aad van der Vaart,,success
10.1214/16-AOS1516,Morten Overgaard,Erik Thorlund Parner,Jan Skov Pedersen,,success
10.1214/16-AOS1517,Lancelot F. James,,,Lancelot F. James,success
10.1214/16-AOS1518,Asya Metelkina,,Luc Pronzato,,success
10.1214/16-AOS1519,Chao Gao,Zongming Ma,Harrison H. Zhou,,success
10.1214/16-AOS1520,,,,,not_found
10.1214/16-AOS1521,Weijie Su,Małgorzata Bogdan,Emmanuel J. Candès,,success
10.1214/16-AOS1522,Jiashun Jin,Zheng Tracy Ke,Wanjie Wang,Zheng Tracy Ke,success
10.1214/16-AOS1523,Meng Li,,Subhashis Ghosal,Subhashis Ghosal,success
10.1214/16-AOS1525,Weihao Kong,,Gregory Valiant,,success
10.1214/16-AOS1526,,,,,not_found
10.1214/16-AOS1528,Ying Zhu,,,Ying Zhu,success
10.1214/16-AOS1479,Dong Han,Fugee Tsung,Jinguo Xian,,success
10.1214/16-AOS1488,T. Tony Cai,Tengyuan Liang,Alexander Rakhlin,T. Tony Cai,success
10.1214/16-AOS1495,John A. D. Aston,Davide Pigoli,Shahin Tavakoli,,success
10.1214/16-AOS1496,Wei Zheng,Mingyao Ai,Kang Li,,success
10.1214/16-AOS1497,,,,,not_found
10.1214/16-AOS1498,Marianna Pensky,,,Marianna Pensky,success
10.1214/16-AOS1499,Markus Bibinger,Moritz Jirak,Mathias Vetter,,success
10.1214/15-AOS1325,Nicolai Meinshausen,,Peter Bühlmann,Nicolai Meinshausen,success
10.1214/15-AOS1327,Viktor Todorov,,,Viktor Todorov,success
10.1214/14-AOS1251,Gourab Mukherjee,,Iain M. Johnstone,,success
10.1214/14-AOS1285,Purnamrita Sarkar,,Peter J. Bickel,Purnamrita Sarkar,success
10.1214/14-AOS1286,Zhao Ren,Tingni Sun; Cun‐Hui Zhang,Harrison H. Zhou,,success
10.1214/14-AOS1290,T. Tony Cai,,Xiaodong Li,T. Tony Cai,success
10.1214/14-AOS1295,Marloes H. Maathuis,,Diego Colombo,,success
10.1214/14-AOS1300,Zongming Ma,,Yihong Wu,,success
10.1214/14-AOS1301,Carsten Jentsch,,Dimitris N. Politis,,success
10.1214/14-AOS1302,Sylvain Delattre,,Etienne Roquain,Sylvain Delattre,success
10.1214/14-AOS1306,Oleg Lepski,,,Oleg Lepski,success
10.1214/14-AOS1308,Yingying Fan,Yinfei Kong; Daoji Li,Zemin Zheng,,success
10.1214/15-AOS1309,Olga Klopp,,Marianna Pensky,,success
10.1214/15-AOS1310,Robert Krauthgamer,Boaz Nadler,Dan Vilenchik,Robert Krauthgamer,success
10.1214/15-AOS1312,Jian Li,,David Siegmund,Jian Li,success
10.1214/15-AOS1313,Guang Cheng,,Zuofeng Shang,,success
10.1214/14-AOS1284,Yanrong Yang,,Guangming Pan,Yanrong Yang,success
10.1214/14-AOS1287,Wei Zheng,,,Wei Zheng,success
10.1214/14-AOS1291,Soutir Bandyopadhyay,Soumendra N. Lahiri,Daniel J. Nordman,,success
10.1214/14-AOS1292,Shurong Zheng,Zhidong Bai,Jianfeng Yao,,success
10.1214/14-AOS1293,Clément Levrard,,,Clément Levrard,success
10.1214/14-AOS1288,Young K. Lee,Enno Mammen; Jens P. Nielsen,Byeong U. Park,Young K. Lee,success
10.1214/14-AOS1289,Yun Yang,,Surya T. Tokdar,Yun Yang,success
10.1214/14-AOS1294,Haoyang Liu,Alexander Aue,Debashis Paul,Haoyang Liu,success
10.1214/14-AOS1297,Michael Vogt,,Holger Dette,Michael Vogt,success
10.1214/14-AOS1299,Ting Zhang,,Wei Biao Wu,Ting Zhang,success
10.1214/15-AOS1311,Pierre E. Jacob,,Alexandre H Thiéry,Pierre E. Jacob,success
10.1214/14-AOS1268,Chao Gao,,Harrison H. Zhou,Chao Gao,success
10.1214/14-AOS1283,Geoffrey Schiebinger,Martin J. Wainwright,Bin Yu,,success
10.1214/14-AOS1298,Xinbing Kong,Zhi Liu,Bing‐Yi Jing,,success
10.1214/14-AOS1304,Sami Umut Can,John H. J. Einmahl; Estate V. Khmaladze,Roger J. A. Laeven,Sami Umut Can,success
